metric,value,unit,source,description
inertia_2025_floor,130,GVA*s,Chapter 1.4,"Record low of ~130 GVA*s in 2025"
redispatch_cost_2025,3.1,billion EUR,Chapter 1.1,"Cost of stability surged to over €3 billion annually"
fcr_cost_2025,212,million EUR,Chapter 1.4,"2025 FCR cost: €212 million"
redispatch_2025_detailed,2.9,billion EUR,Chapter 1.4,"2025 redispatch costs hit €2.9 billion"
grid_intervention_2018,1.6,billion EUR,Figure 1.1,"2018 grid intervention cost"
grid_intervention_2020,2.1,billion EUR,Figure 1.1,"2020 grid intervention cost"
grid_intervention_2022,4.3,billion EUR,Figure 1.1,"2022 grid intervention cost"
grid_intervention_2024,2.6,billion EUR,Figure 1.1,"2024 grid intervention cost"
grid_intervention_2030_bau,6.1,billion EUR,Figure 1.1,"2030 Business as Usual cost"
grid_intervention_2030_mcp,1.5,billion EUR,Figure 1.1,"2030 MCP-Enabled cost"
mcp_latency_ref,100,ms,Figure 1.2,"Reference latency for stability manifold"
h_sys_ref,8,GVA*s,Figure 1.2,"Reference inertia for stability manifold"
phi_mcp_damping,0.1,p.u.,Chapter 1.5.1,"Protocol-Driven Damping Factor"
equity_gini_limit,0.2,index,Chapter 1.2.1,"Equity constraint epsilon"
p_essential_min,0.8,p.u.,Chapter 1.2.1,"Human Rights P_min"
rocof_max,2.0,Hz/s,Chapter 1.2.1,"Stability RoCoF_max"
